Year,Winner,Position,Win,Loss,Yards,TD
2000,Chris Weinke,QB,11,2,4167,33
2001,Eric Crouch,QB,11,2,2688,26
2002,Carson Palmer,QB,11,2,3942,33
2003,Jason White,QB,12,2,3846,40
2004,Matt Leinart,QB,13,0,3322,33
2005,Reggie Bush,RB,12,1,2218,18
2006,Troy Smith,QB,12,1,2542,30
2007,Tim Tebow,QB,9,4,4181,55
2008,Sam Bradford,QB,12,2,4720,50
2009,Mark Ingram,RB,14,0,1992,20
2010,Cam Newton,QB,14,0,4327,50
2011,Robert Griffin III,QB,10,3,4992,47
2012,Johnny Manziel,QB,11,2,5116,47
2013,Jamies Winson,QB,14,0,4057,40
2014,Marcus Mariota,QB,13,2,5224,57
2015,Derrick Henry,RB,14,1,2219,28
2016,Lamar Jackson,QB,9,4,5114,51
2017,Baker Mayfield,QB,12,2,4627,43
2018,Kyler Murray,QB,12,2,5362,54
2019,Joe Burrow,QB,15,0,5671,60
2020,DeVonta Smith,WR,13,0,1856,23
2021,Bryce Young,QB,13,2,4872,47
2022,Caleb Willaims,QB,11,3,4919,52
2023,Jayden Daniels ,QB,9,3,4946,50
